"id_plot","species","ba","dist","alt_dif","sppt","reg_ilex","reg_fag","spp3","spp12","utm_x","utm_y","twi","land_use"
9,"q_faginea",0.0268,408.7953542,95.376038,1.31567909427529e-06,10,0,0,1.31567909427529e-06,484407,4538392,5.568288069,"A"
10,"q_faginea",0.0268,458.6370703,115.597961,1.08820492971015e-06,16,0,0,1.08820492971015e-06,484467,4538392,4.682476354,"A"
17,"q_faginea",0.0268,376.5282571,102.179993,1.5068457478472e-06,10,0,0,1.5068457478472e-06,484407,4538332,4.822572289,"M"
18,"q_faginea",0.0268,430.1253869,117.597961,1.20977029956891e-06,4,0,0,1.20977029956891e-06,484467,4538332,4.624489546,"M"
19,"q_faginea",0.0268,485.2297292,120.34906,9.91565896849396e-07,3,0,0,9.91565896849396e-07,484527,4538332,5.213829679,"M"
25,"q_faginea",0.0415,390.59166755,56.541534685,2.78538331250687e-06,8,0,0,2.78538331250687e-06,484347,4538272,4.516508551,"M"
26,"q_faginea",0.0268,351.6235694,103.237976,1.68696522420551e-06,5,0,0,1.68696522420551e-06,484407,4538272,5.013035955,"M"
27,"q_faginea",0.0268,408.5014739,112.742981,1.3172412066981e-06,4,2,0,1.3172412066981e-06,484467,4538272,4.629248962,"A"
28,"q_faginea",0.0268,466.1689559,107.895081,1.05934706742369e-06,1,0,0,1.05934706742369e-06,484527,4538272,4.726060305,"A"
34,"q_faginea",0.0671,426.7487529,59.3625642125,4.02915792983183e-06,13,0,0,4.02915792983183e-06,484347,4538212,4.61385519,"M"
35,"q_faginea",0.0377,401.3340953,84.62307773,2.25048254340163e-06,1,0,0,2.25048254340163e-06,484407,4538212,4.961015043,"A"
36,"q_faginea",0.0377,442.221688,86.33706673,1.79038205707754e-06,5,0,0,1.79038205707754e-06,484467,4538212,4.361684036,"A"
37,"q_faginea",0.0268,454.2959614,87.347961,1.10541575109281e-06,16,0,0,1.10541575109281e-06,484527,4538212,5.994799929,"A"
44,"q_faginea",0.0524,363.378996633333,70.3626508266667,3.84923588946471e-06,10,4,0,3.84923588946471e-06,484347,4538152,4.332840595,"A"
